iter	Passed	Remaining
743	11594	3989
744	11609	3973
745	11624	3957
746	11640	3942
747	11655	3926
748	11674	3912
749	11691	3897
750	11708	3881
751	11724	3866
752	11737	3850
753	11750	3833
754	11762	3817
755	11776	3800
756	11791	3785
757	11806	3769
758	11822	3753
759	11838	3738
760	11853	3722
761	11868	3707
762	11883	3691
763	11899	3675
764	11917	3660
765	11935	3646
766	11949	3630
767	11962	3613
768	11975	3597
769	11987	3580
770	12000	3564
771	12014	3548
772	12028	3532
773	12043	3516
774	12056	3500
775	12070	3484
776	12086	3468
777	12102	3453
778	12117	3437
779	12133	3422
780	12150	3407
781	12168	3392
782	12183	3376
783	12198	3360
784	12212	3344
785	12227	3329
786	12239	3312
787	12252	3296
788	12268	3280
789	12281	3264
790	12296	3249
791	12312	3233
792	12327	3217
793	12341	3202
794	12356	3186
795	12371	3170
796	12387	3155
797	12405	3140
798	12419	3124
799	12432	3108
800	12445	3092
801	12460	3076
802	12475	3060
803	12492	3045
804	12510	3030
805	12524	3014
806	12537	2998
807	12551	2982
808	12564	2966
809	12579	2950
810	12593	2934
811	12606	2918
812	12622	2903
813	12639	2888
814	12656	2873
815	12676	2858
816	12697	2844
817	12717	2829
818	12733	2814
819	12749	2798
820	12767	2783
821	12782	2768
822	12797	2752
823	12813	2736
824	12828	2721
825	12843	2705
826	12856	2689
827	12869	2673
828	12885	2657
829	12902	2642
830	12918	2627
831	12932	2611
832	12946	2595
833	12959	2579
834	12972	2563
835	12985	2547
836	12998	2531
837	13011	2515
838	13025	2499
839	13038	2483
840	13054	2468
841	13070	2452
842	13085	2436
843	13100	2421
844	13114	2405
845	13129	2390
846	13146	2374
847	13161	2359
848	13177	2343
849	13196	2328
850	13211	2313
851	13225	2297
852	13241	2281
853	13255	2266
854	13273	2250
855	13289	2235
856	13304	2219
857	13318	2204
858	13333	2188
859	13349	2173
860	13366	2157
861	13386	2143
862	13403	2127
863	13418	2112
864	13436	2097
865	13449	2081
866	13465	2065
867	13480	2050
868	13493	2034
869	13505	2017
870	13516	2001
871	13528	1985
872	13540	1969
873	13553	1953
874	13566	1938
875	13578	1922
876	13592	1906
877	13606	1890
878	13622	1875
879	13636	1859
880	13651	1843
881	13666	1828
882	13682	1812
883	13701	1797
884	13721	1782
885	13746	1768
886	13759	1752
887	13772	1737
888	13785	1721
889	13798	1705
890	13813	1689
891	13827	1674
892	13844	1658
893	13860	1643
894	13876	1628
895	13893	1612
896	13911	1597
897	13928	1582
898	13945	1566
899	13961	1551
900	13976	1535
901	13993	1520
902	14009	1504
903	14024	1489
904	14040	1473
905	14055	1458
906	14070	1442
907	14086	1427
908	14105	1412
909	14121	1396
910	14136	1381
911	14153	1365
912	14169	1350
913	14184	1334
914	14200	1319
915	14218	1303
916	14234	1288
917	14252	1273
918	14266	1257
919	14281	1241
920	14298	1226
921	14317	1211
922	14333	1195
923	14349	1180
924	14362	1164
925	14375	1148
926	14387	1133
927	14401	1117
928	14413	1101
929	14427	1085
930	14440	1070
931	14455	1054
932	14471	1039
933	14490	1023
934	14504	1008
935	14518	992
936	14532	977
937	14544	961
938	14556	945
939	14569	929
940	14584	914
941	14597	898
942	14611	883
943	14624	867
944	14638	852
945	14655	836
946	14674	821
947	14687	805
948	14703	790
949	14726	775
950	14749	759
951	14767	744
952	14782	729
953	14798	713
954	14813	698
955	14827	682
956	14843	666
957	14859	651
958	14874	635
959	14889	620
960	14904	604
961	14918	589
962	14932	573
963	14947	558
964	14962	542
965	14978	527
966	14993	511
967	15007	496
968	15022	480
969	15037	465
970	15055	449
971	15069	434
972	15082	418
973	15095	402
974	15108	387
975	15122	371
976	15136	356
977	15149	340
978	15164	325
979	15179	309
980	15193	294
981	15207	278
982	15221	263
983	15236	247
984	15250	232
985	15265	216
986	15278	201
987	15293	185
988	15307	170
989	15321	154
990	15334	139
991	15348	123
992	15362	108
993	15374	92
994	15388	77
995	15402	61
996	15416	46
997	15428	30
998	15442	15
999	15457	0
