iter	RMSE
0	0.959811357
1	0.9327108352
2	0.9022188527
3	0.8777889552
4	0.8537249092
5	0.8315028904
6	0.8084097712
7	0.790097973
8	0.7665342017
9	0.7466977432
10	0.7244177134
11	0.7047659852
12	0.6869156482
13	0.6673570924
14	0.6499519303
15	0.6340618597
16	0.6193217152
17	0.6039726015
18	0.5891301408
19	0.5776073493
20	0.564768126
21	0.5506113813
22	0.5365303402
23	0.5261253771
24	0.5149032565
25	0.5026447949
26	0.4920722964
27	0.4821639997
28	0.4732414191
29	0.4625533546
30	0.4540823368
31	0.4429380215
32	0.4351243773
33	0.4277517574
34	0.419126026
35	0.4096404751
36	0.4033907235
37	0.3972176655
38	0.3904898782
39	0.3835725665
40	0.3757910095
41	0.3658899429
42	0.3585277056
43	0.3534664914
44	0.3482324677
45	0.3426897612
46	0.3369299881
47	0.3315734481
48	0.3251619662
49	0.3187770757
50	0.3126395375
51	0.306059973
52	0.3025870144
53	0.2969647844
54	0.2915255308
55	0.2867931277
56	0.2810366919
57	0.2770508106
58	0.2736934913
59	0.2680264797
60	0.2641093207
61	0.2612773561
62	0.2580049789
63	0.2542133824
64	0.2509199125
65	0.2476648493
66	0.2447227637
67	0.2415038907
68	0.238765322
69	0.2341232817
70	0.2317931614
71	0.2284935218
72	0.2248490091
73	0.2210708215
74	0.2189904894
75	0.2168566442
76	0.2136203559
77	0.2099561272
78	0.2079632233
79	0.2055048085
80	0.2030319816
81	0.2011937645
82	0.1984872749
83	0.1955407315
84	0.1929928527
85	0.1904188127
86	0.1889204876
87	0.1857710598
88	0.1841717673
89	0.1816532867
90	0.1797488454
91	0.1781381979
92	0.1758964504
93	0.174123982
94	0.1723834131
95	0.1701970051
96	0.1687076705
97	0.1667720989
98	0.1655536514
99	0.1633812705
100	0.1615953021
101	0.160003146
102	0.1584178125
103	0.1575716473
104	0.1562949941
105	0.1554200236
106	0.1531210512
107	0.1517344938
108	0.1499115752
109	0.14868661
110	0.146446832
111	0.1451097808
112	0.1436066169
113	0.1422880681
114	0.1408225503
115	0.1396799425
116	0.1385635551
117	0.1369673612
118	0.1353373134
119	0.1343935363
120	0.1332416216
121	0.1323127724
122	0.1312126409
123	0.1300771606
124	0.1291729896
125	0.1281927828
126	0.1270524911
127	0.1251607429
128	0.1246289489
129	0.1236897187
130	0.1227615886
131	0.1221400231
132	0.1214279472
133	0.1202184419
134	0.1194922733
135	0.1179791427
136	0.1170768342
137	0.1159624444
138	0.1151797697
139	0.1140813344
140	0.1132590458
141	0.1123698661
142	0.1116992221
143	0.1109541467
144	0.1099617209
145	0.1092344827
146	0.1084335045
147	0.1079076264
148	0.1073937125
149	0.1067041
150	0.1059389196
151	0.1052521649
152	0.1043652507
153	0.1036092268
154	0.1028409627
155	0.102060258
156	0.1013365317
157	0.1005939644
158	0.09976448028
159	0.09903266005
160	0.09824941576
161	0.09764537606
162	0.09694714445
163	0.09631086527
164	0.09579943464
165	0.09531062615
166	0.09468491293
167	0.09424250461
168	0.09377603765
169	0.09311638477
170	0.09250204794
171	0.09171120965
172	0.09111972256
173	0.09041548408
174	0.0898426177
175	0.08919265197
176	0.08867097199
177	0.08803950752
178	0.08763658531
179	0.08692657423
180	0.08634289199
181	0.08580230007
182	0.08528736057
183	0.08479352068
184	0.08424130664
185	0.08378060259
186	0.08327367181
187	0.08268413949
188	0.08226575784
189	0.08179592077
190	0.08142555377
191	0.08103268777
192	0.0805862048
193	0.08020120536
194	0.07987463109
195	0.07964221443
196	0.07922398907
197	0.07887540715
198	0.07853755888
199	0.07825874032
200	0.07802116382
201	0.07773542811
202	0.07755162205
203	0.0772430262
204	0.07669585353
205	0.07636112182
206	0.0760853173
207	0.07591554949
208	0.07555374822
209	0.07517550466
210	0.07491283402
211	0.0747664286
212	0.07440921657
213	0.07409161425
214	0.0737911171
215	0.07354838546
216	0.07333655642
217	0.07304858788
218	0.07282541068
219	0.07228677123
220	0.07201168051
221	0.07167269938
222	0.07138543496
223	0.071208384
224	0.07080235428
225	0.07052041966
226	0.07026460569
227	0.06995598139
228	0.069695216
229	0.06921082999
230	0.06891337277
231	0.0688067167
232	0.06842556468
233	0.06824880673
234	0.06799812699
235	0.06787254166
236	0.06762033796
237	0.06738019793
238	0.06720189886
239	0.06695342005
240	0.06672010977
241	0.06660439419
242	0.06632603864
243	0.06603897848
244	0.06572857965
245	0.06544411924
246	0.06521645333
247	0.06503003828
248	0.06473637855
249	0.06451570975
250	0.06427804254
251	0.06402814161
252	0.06381501488
253	0.06355908787
254	0.06346347564
255	0.06324588645
256	0.06297272739
257	0.06281478429
258	0.0625867089
259	0.06248327342
260	0.06233687856
261	0.06216049865
262	0.06198742611
263	0.06177635551
264	0.06159625245
265	0.06137686111
266	0.06128761702
267	0.0610617592
268	0.06083857874
269	0.06061567811
270	0.0604732928
271	0.06024244645
272	0.06008236605
273	0.05991121679
274	0.05974237461
275	0.05952566409
276	0.05932791808
277	0.0591636983
278	0.05884970368
279	0.0587172365
280	0.05845458467
281	0.05828788363
282	0.05809334697
283	0.05777332966
284	0.05762493578
285	0.05745775215
286	0.05733161162
287	0.05722216142
288	0.05710020707
289	0.05688511028
290	0.05673857998
291	0.05667075575
292	0.05659708626
293	0.05624039219
294	0.05610567543
295	0.05600456572
296	0.05587276586
297	0.05577848371
298	0.05568298074
299	0.05553532921
300	0.0554038199
301	0.05532140349
302	0.05511014535
303	0.05495484591
304	0.05476295939
305	0.05440195108
306	0.05424498702
307	0.05406264873
308	0.05401423868
309	0.05384502644
310	0.05381635835
311	0.05364973024
312	0.05346984576
313	0.05329552098
314	0.05316564205
315	0.05302940782
316	0.05283659366
317	0.05265127357
318	0.05249149495
319	0.0524580039
320	0.05224623736
321	0.05214591319
322	0.05200802354
323	0.05193763852
324	0.0518001754
325	0.05160713386
326	0.05147617697
327	0.0512730706
328	0.05114804028
329	0.05101763132
330	0.05083667368
331	0.05075949322
332	0.05061245288
333	0.05050301279
334	0.0504093576
335	0.05026309005
336	0.05012426564
337	0.04991763666
338	0.04975710179
339	0.04954126599
340	0.04942397268
341	0.04930271483
342	0.04916244578
343	0.04903660243
344	0.04887810734
345	0.04873724041
346	0.04864258685
347	0.04850881811
348	0.0483478699
349	0.04820039218
350	0.04810999339
351	0.04793371972
352	0.04780241763
353	0.04764605014
354	0.04753490959
355	0.04741339916
356	0.04728939609
357	0.0471979357
358	0.04698840701
359	0.04686143007
360	0.04672136483
361	0.04655782777
362	0.04638975466
363	0.04626291665
364	0.04613522142
365	0.04595586527
366	0.04584330043
367	0.04574491801
368	0.04549598502
369	0.04526867762
370	0.045190512
371	0.04502205848
372	0.04488001507
373	0.04470873768
374	0.04455777089
375	0.04441923049
376	0.04423188492
377	0.04403584067
